GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,OPTAX.id,OPTAX.display-label,PRODSVC2012.id,PRODSVC2012.display-label,PRODSVC2012.annotation.id,YEAR.id,ESTAB,TVALLN,RCPTOT,LINE_PCT,LINEALL_PCT,LINE_COV,KB_PCT
Geographic identifier code,Id2,Geographic area name,Id,2012 NAICS code,Meaning of 2012 NAICS code,Id,Type of operation or tax status code,Meaning of Type of operation or tax status code,Products and services code,Meaning of Products and services code,Id,Year,Number of establishments,"Total sales of estabs reporting product line ($1,000)","Sales ($1,000)",Product line sales as % of total sales of estabs reporting line (%),Product line sales as % of total sales of all estabs (%),Response coverage of product lines inquiry (%),Percent of sales accounted for by industry (%)
0100000US,,United States,,42493,"Flower, nursery stock, and florists' supplies merchant wholesalers",,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,8,25590,1003,3.9,,,
0100000US,,United States,,424930,"Flower, nursery stock, and florists' supplies merchant wholesalers",,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,8,25590,1003,3.9,,,
0100000US,,United States,,424930,"Flower, nursery stock, and florists' supplies merchant wholesalers",,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,8,25590,1003,3.9,,,
0100000US,,United States,,42499,Other miscellaneous nondurable goods merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,98,304956,14611,4.8,,,0.1
0100000US,,United States,,42499,Other miscellaneous nondurable goods merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,98,304956,14611,4.8,,,0.2
0100000US,,United States,,424990,Other miscellaneous nondurable goods merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,98,304956,14611,4.8,,,0.1
0100000US,,United States,,424990,Other miscellaneous nondurable goods merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,98,304956,14611,4.8,,,0.2
0100000US,,United States,,4249902,General merchandise (nondurable goods) merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,73,164340,12936,7.9,0.3,,0.1
0100000US,,United States,,4249902,General merchandise (nondurable goods) merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,73,164340,12936,7.9,0.3,,0.1
0100000US,,United States,,4249904,Other nondurable goods merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,25,140616,1675,1.2,,,
0100000US,,United States,,4249904,Other nondurable goods merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,25,,,,,,
0100000US,,United States,,425,Wholesale electronic markets and agents and brokers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,85,583296,296401,50.8,,48.0,2.5
0100000US,,United States,,4251,Wholesale electronic markets and agents and brokers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,85,583296,296401,50.8,,48.0,2.5
